Num,Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD,Pinyin,Pinyin (no tone),tone,initial,final,IDS,lvl1_structure,components
208,古,6114,130.53,3.7863,2330,37.32,3.3674,gǔ,gu,3,g,u,⿱十口,⿱,⿱十口
209,节,17377,370.98,4.24,4267,68.35,3.6301,jiē,jie,1,j,ie,⿱艹⿱𠃌丨,⿱,⿱艹⿱𠃌丨
210,本,41063,876.64,4.6135,6000,96.11,3.7782,běn,ben,3,b,en,本,S,本
211,术,12844,274.2,4.1087,3617,57.94,3.5583,shù,shu,4,sh,u,⿺木丶,⿺,⿺木丶
212,可,212670,4540.24,5.3277,6239,99.94,3.7951,kě,ke,3,k,e,⿹丁口,⿹,⿹丁口
213,丙,197,4.21,2.2945,108,1.73,2.0334,bǐng,bing,3,b,ing,⿱一内,⿱,⿱一内
214,左,5160,110.16,3.7126,2484,39.79,3.3952,zuǒ,zuo,3,z,uo,⿸𠂇工,⿸,⿸𠂇工
215,厉,2901,61.93,3.4625,1875,30.03,3.273,lì,li,4,l,i,⿸厂万,⿸,⿸厂万
216,石,6896,147.22,3.8386,2320,37.16,3.3655,shí,shi,2,sh,i,⿸丆口,⿸,⿸丆口
217,右,4783,102.11,3.6797,2333,37.37,3.3679,yòu,you,4,y,ou,⿸𠂇口,⿸,⿸𠂇口
218,布,18253,389.68,4.2613,3969,63.58,3.5987,bù,bu,4,b,u,⿸𠂇巾,⿸,⿸𠂇巾
219,夯,2,0.04,0.301,1,0.02,0,bèn,ben,4,b,en,⿱大力,⿱,⿱大力
220,戊,23,0.49,1.3617,15,0.24,1.1761,wù,wu,4,w,u,戊,S,戊
221,龙,3798,81.08,3.5796,1373,21.99,3.1377,lóng,long,2,l,ong,⿻尤丿,⿻,⿻尤丿
222,平,14739,314.66,4.1685,4773,76.45,3.6788,píng,ping,2,p,ing,⿻干丷,⿻,⿻干丷
223,灭,3546,75.7,3.5497,1798,28.8,3.2548,miè,mie,4,m,ie,⿱一火,⿱,⿱一火
224,轧,59,1.26,1.7709,46,0.74,1.6628,zhá,zha,2,zh,a,⿰车乚,⿰,⿰车乚
225,东,44037,940.14,4.6438,6035,96.67,3.7807,dōng,dong,1,d,ong,东,S,东
226,卡,19536,417.07,4.2908,3741,59.92,3.573,kǎ,ka,3,k,a,⿱上卜,⿱,⿱上卜
227,北,3768,80.44,3.5761,1709,27.37,3.2327,běi,bei,3,b,ei,⿰③匕,⿰,⿰③匕
228,占,2291,48.91,3.36,1524,24.41,3.183,zhàn,zhan,4,zh,an,⿱⺊口,⿱,⿱⺊口
229,凸,109,2.33,2.0374,93,1.49,1.9685,tū,tu,1,t,u,凸,S,凸
230,卢,1924,41.08,3.2842,435,6.97,2.6385,lú,lu,2,l,u,⿱⺊尸,⿱,⿱⺊尸
231,业,13928,297.35,4.1439,4346,69.61,3.6381,yè,ye,4,y,e,⿱④一,⿱,⿱④一
232,旧,3630,77.5,3.5599,2128,34.09,3.328,jiù,jiu,4,j,iu,⿰丨日,⿰,⿰丨日
233,帅,2850,60.84,3.4548,1605,25.71,3.2055,shuài,shuai,4,sh,uai,⿰⿰丨丿巾,⿰,⿰⿰丨丿巾
234,归,4235,90.41,3.6269,2611,41.82,3.4168,guī,gui,1,g,ui,⿰⿰丨丿彐,⿰,⿰⿰丨丿彐
235,旦,3661,78.16,3.5636,2154,34.5,3.3332,dàn,dan,4,d,an,⿱日一,⿱,⿱日一
236,目,22482,479.96,4.3518,5073,81.26,3.7053,mù,mu,4,m,u,目,S,目
237,且,24774,528.89,4.394,5463,87.51,3.7374,qiě,qie,3,q,ie,且,S,且
238,叶,1525,32.56,3.1833,733,11.74,2.8651,yè,ye,4,y,e,⿰口十,⿰,⿰口十
239,甲,2487,53.09,3.3957,1181,18.92,3.0722,jiǎ,jia,3,j,ia,甲,S,甲
